;timestamp;Ladezustand;Batterie (Laden);Batterie (Entladen);Netzeinspeisung;Netzbezug;Solarproduktion Tracker 1;Solarproduktion Tracker 2;Solarproduktion Tracker 3;Solarproduktion;Hausverbrauch
;2023-03-16 15:30;0;0;0;0;0;0;0;0;0;0
;2023-03-16 15:45;0;0;0;0;0;0;0;0;0;0
;2023-03-16 16:00;97;651;0;11;11;415;400;0;815;94
;2023-03-16 16:15;99;442;0;346;3;462;446;0;908;53
;2023-03-16 16:30;99;143;0;599;0;422;409;0;831;21
;2023-03-16 16:45;100;43;0;741;0;448;436;0;884;35
;2023-03-16 17:00;100;0;0;772;0;438;424;0;861;31
;2023-03-16 17:15;100;0;0;672;0;426;411;0;836;106
;2023-03-16 17:30;100;0;0;628;0;396;383;0;780;96
;2023-03-16 17:45;100;0;0;496;0;327;317;0;643;98
;2023-03-16 18:00;100;0;7;461;3;275;266;0;541;43
;2023-03-16 18:15;100;0;0;513;0;296;287;0;583;23
;2023-03-16 18:30;100;0;3;204;3;135;129;0;264;26
;2023-03-16 18:45;100;0;0;55;0;66;60;0;126;34
;2023-03-16 19:00;99;0;75;8;2;36;31;0;66;101
;2023-03-16 19:15;99;0;39;1;1;17;14;0;30;34
;2023-03-16 19:30;98;0;70;1;1;5;2;0;7;45
;2023-03-16 19:45;97;0;107;3;3;0;0;0;0;84
;2023-03-16 20:00;96;0;67;0;1;0;0;0;0;44
;2023-03-16 20:15;95;0;72;1;1;0;0;0;0;49
;2023-03-16 20:30;95;0;82;1;1;0;0;0;0;57
;2023-03-16 20:45;94;0;81;1;1;0;0;0;0;57
;2023-03-16 21:00;93;0;58;1;3;0;0;0;0;37
;2023-03-16 21:15;93;0;71;1;1;0;0;0;0;48
;2023-03-16 21:30;92;0;41;0;9;0;0;0;0;35
;2023-03-16 21:45;92;0;0;0;22;0;0;0;0;22
;2023-03-16 22:00;92;0;14;3;21;0;0;0;0;27
;2023-03-16 22:15;91;0;48;1;6;0;0;0;0;34
;2023-03-16 22:30;91;0;10;2;26;0;0;0;0;29
