;timestamp;Ladezustand;Batterie (Laden);Batterie (Entladen);Netzeinspeisung;Netzbezug;Solarproduktion Tracker 1;Solarproduktion Tracker 2;Solarproduktion Tracker 3;Solarproduktion;Hausverbrauch
;2023-05-01 00:00;85;0;68;1;1;0;0;0;0;44
;2023-05-01 00:15;84;0;43;2;12;0;0;0;0;34
;2023-05-01 00:30;83;0;30;1;17;0;0;0;0;31
;2023-05-01 00:45;83;0;63;1;2;0;0;0;0;40
;2023-05-01 01:00;82;0;10;0;16;0;0;0;0;21
;2023-05-01 01:15;82;0;0;0;17;0;0;0;0;17
;2023-05-01 01:30;82;0;21;3;18;0;0;0;0;26
;2023-05-01 01:45;82;0;6;1;20;0;0;0;0;23
;2023-05-01 02:00;82;0;0;0;17;0;0;0;0;17
;2023-05-01 02:15;82;0;4;2;19;0;0;0;0;19
;2023-05-01 02:30;82;0;13;1;23;0;0;0;0;30
;2023-05-01 02:45;82;0;0;0;19;0;0;0;0;19
;2023-05-01 03:00;81;0;14;3;23;0;0;0;0;28
;2023-05-01 03:15;81;0;42;2;16;0;0;0;0;42
;2023-05-01 03:30;80;0;51;2;10;0;0;0;0;39
;2023-05-01 03:45;80;0;38;2;15;0;0;0;0;33
;2023-05-01 04:00;80;0;36;3;17;0;0;0;0;34
;2023-05-01 04:15;79;0;62;0;2;0;0;0;0;40
;2023-05-01 04:30;79;0;8;2;21;0;0;0;0;23
;2023-05-01 04:45;79;0;0;0;18;0;0;0;0;18
;2023-05-01 05:00;79;0;9;2;23;0;0;0;0;27
;2023-05-01 05:15;77;0;8;2;20;0;0;0;0;22
;2023-05-01 05:30;77;0;0;0;17;0;0;0;0;17
;2023-05-01 05:45;77;0;7;2;18;0;0;0;0;20
;2023-05-01 06:00;77;0;28;3;17;0;0;0;0;29
;2023-05-01 06:15;77;0;0;0;17;0;0;0;0;17
;2023-05-01 06:30;77;0;8;1;20;0;0;0;0;24
;2023-05-01 06:45;76;0;58;1;5;0;0;0;0;40
;2023-05-01 07:00;76;0;57;2;6;3;0;0;3;39
