;timestamp;Ladezustand;Batterie (Laden);Batterie (Entladen);Netzeinspeisung;Netzbezug;Solarproduktion Tracker 1;Solarproduktion Tracker 2;Solarproduktion Tracker 3;Solarproduktion;Hausverbrauch
;2023-07-01 00:00;90;0;47;2;10;0;0;0;0;36
;2023-07-01 00:15;90;0;35;3;16;0;0;0;0;31
;2023-07-01 00:30;88;0;32;3;17;0;0;0;0;31
;2023-07-01 00:45;88;0;34;4;17;0;0;0;0;31
;2023-07-01 01:00;88;0;33;3;16;0;0;0;0;31
;2023-07-01 01:15;87;0;33;3;16;0;0;0;0;31
;2023-07-01 01:30;87;0;33;4;16;0;0;0;0;30
;2023-07-01 01:45;87;0;35;3;15;0;0;0;0;30
;2023-07-01 02:00;86;0;31;3;16;0;0;0;0;31
;2023-07-01 02:15;86;0;52;2;9;0;0;0;0;38
;2023-07-01 02:30;85;0;69;0;0;0;0;0;0;44
;2023-07-01 02:45;84;0;57;1;5;0;0;0;0;39
;2023-07-01 03:00;84;0;20;2;20;0;0;0;0;27
;2023-07-01 03:15;84;0;7;2;24;0;0;0;0;26
;2023-07-01 03:30;83;0;60;1;2;0;0;0;0;38
;2023-07-01 03:45;83;0;0;0;23;0;0;0;0;23
;2023-07-01 04:00;83;0;0;0;23;0;0;0;0;23
;2023-07-01 04:15;82;0;59;3;7;0;0;0;0;43
;2023-07-01 04:30;82;0;64;1;2;0;0;0;0;42
;2023-07-01 04:45;81;0;59;1;3;0;0;0;0;37
;2023-07-01 05:00;81;0;40;3;17;0;0;0;0;40
;2023-07-01 05:15;80;0;64;2;5;0;0;0;0;44
;2023-07-01 05:30;79;0;40;3;14;0;0;0;0;33
;2023-07-01 05:45;79;0;34;4;17;0;0;0;0;31
;2023-07-01 06:00;77;0;63;2;4;0;0;0;0;42
;2023-07-01 06:15;77;0;48;2;6;2;0;0;2;32
;2023-07-01 06:30;76;0;47;1;3;8;1;0;9;30
;2023-07-01 06:45;76;0;28;1;1;20;16;0;36;35
;2023-07-01 07:00;76;1;8;3;3;35;30;0;64;40
;2023-07-01 07:15;76;31;2;1;1;56;51;0;107;30
;2023-07-01 07:30;77;61;0;0;0;70;63;0;133;24
;2023-07-01 07:45;77;57;0;1;1;73;67;0;140;36
;2023-07-01 08:00;79;105;0;0;0;94;87;0;181;27
;2023-07-01 08:15;80;101;0;0;0;91;83;0;175;26
;2023-07-01 08:30;81;92;0;1;1;95;87;0;182;42
;2023-07-01 08:45;82;104;0;1;1;119;110;0;229;76
;2023-07-01 09:00;85;287;0;1;1;211;194;0;404;63
;2023-07-01 09:15;87;161;0;1;1;126;121;0;246;36
;2023-07-01 09:30;90;193;0;1;1;169;133;0;302;56
;2023-07-01 09:45;93;337;0;1;1;243;195;0;437;46
;2023-07-01 10:00;96;340;0;1;1;234;199;0;433;41
;2023-07-01 10:15;96;324;0;1;1;232;191;0;423;45
;2023-07-01 10:30;100;284;0;129;1;305;210;0;515;49
;2023-07-01 10:45;100;0;0;280;0;208;153;0;361;40
;2023-07-01 11:00;100;0;0;640;0;400;330;0;730;39
;2023-07-01 11:15;100;0;0;459;0;311;244;0;555;50
;2023-07-01 11:30;100;0;0;548;0;347;292;0;639;43
;2023-07-01 11:45;100;0;0;738;0;450;380;0;830;38
;2023-07-01 12:00;100;0;0;749;0;451;391;0;842;38
;2023-07-01 12:15;100;0;0;722;0;438;383;0;820;44
;2023-07-01 12:30;100;0;0;821;0;484;426;0;910;31
;2023-07-01 12:45;100;0;0;756;0;451;392;0;844;32
;2023-07-01 13:00;100;0;0;749;0;460;385;0;845;40
;2023-07-01 13:15;100;0;0;851;0;505;436;0;942;30
;2023-07-01 13:30;100;0;0;913;0;535;465;0;999;25
;2023-07-01 13:45;100;0;0;846;0;498;434;0;932;27
;2023-07-01 14:00;100;0;0;841;0;487;451;0;938;39
;2023-07-01 14:15;100;0;0;638;0;365;351;0;717;26
;2023-07-01 14:30;99;0;0;950;0;531;519;0;1050;36
;2023-07-01 14:45;99;0;0;617;0;361;353;0;714;46
;2023-07-01 15:00;99;0;0;779;0;445;434;0;879;42
;2023-07-01 15:15;99;0;0;566;0;331;319;0;650;36
;2023-07-01 15:30;99;0;0;538;0;317;305;0;622;36
;2023-07-01 15:45;99;0;0;594;0;352;341;0;692;48
;2023-07-01 16:00;99;0;0;508;0;300;290;0;589;33
;2023-07-01 16:15;99;0;0;796;0;447;437;0;884;32
;2023-07-01 16:30;99;0;0;873;0;492;480;0;971;38
;2023-07-01 16:45;99;0;0;368;0;228;222;0;450;38
;2023-07-01 17:00;99;0;0;477;0;281;274;0;555;30
;2023-07-01 17:15;99;0;0;618;0;353;343;0;696;29
;2023-07-01 17:30;99;0;0;337;0;212;206;0;418;37
;2023-07-01 17:45;99;0;0;328;0;201;195;0;396;27
;2023-07-01 18:00;99;0;0;165;0;116;111;0;227;25
;2023-07-01 18:15;99;0;0;144;0;108;103;0;211;30
;2023-07-01 18:30;99;0;0;120;0;102;97;0;199;43
;2023-07-01 18:45;99;0;0;98;0;88;84;0;172;38
;2023-07-01 19:00;99;0;1;24;1;48;44;0;92;36
;2023-07-01 19:15;99;0;0;29;0;52;47;0;99;36
;2023-07-01 19:30;99;0;1;19;1;45;40;0;85;35
;2023-07-01 19:45;99;0;0;63;0;69;63;0;132;34
;2023-07-01 20:00;99;0;0;44;0;59;54;0;112;33
;2023-07-01 20:15;98;0;8;4;1;30;27;0;57;32
;2023-07-01 20:30;98;0;39;1;2;13;11;0;24;31
;2023-07-01 20:45;97;0;48;1;1;14;11;0;25;38
