WR-Typ;Seriennummer;RS485-Adresse;IP-Adresse;Ertrag[kWh]
Powador 10.0 TL3;10.0TL01258079;1;0.0.0.0;1398.81
Datum;E[Wh]
01/06/2014;45622
02/06/2014;39951
03/06/2014;53882
04/06/2014;36677
05/06/2014;47896
06/06/2014;55241
07/06/2014;54134
08/06/2014;52558
09/06/2014;52884
10/06/2014;52547
11/06/2014;54073
12/06/2014;52558
13/06/2014;46199
14/06/2014;50595
15/06/2014;57794
16/06/2014;56874
17/06/2014;54069
18/06/2014;55088
19/06/2014;45112
20/06/2014;26085
21/06/2014;52216
22/06/2014;55944
23/06/2014;48325
24/06/2014;33802
25/06/2014;36146
26/06/2014;54002
27/06/2014;55421
28/06/2014;41007
29/06/2014;8504
30/06/2014;23613
