WR-Typ;Seriennummer;RS485-Adresse;IP-Adresse;Ertrag[kWh]
Powador 10.0 TL3;10.0TL01258079;1;0.0.0.0;482.65
Datum;E[Wh]
01/10/2014;18582
02/10/2014;23233
03/10/2014;18086
04/10/2014;9473
05/10/2014;24581
06/10/2014;26425
07/10/2014;12481
08/10/2014;18179
09/10/2014;29454
10/10/2014;16512
11/10/2014;12213
12/10/2014;18465
13/10/2014;5123
14/10/2014;26969
15/10/2014;16086
16/10/2014;9462
17/10/2014;14555
18/10/2014;20097
19/10/2014;14311
20/10/2014;18012
21/10/2014;12380
22/10/2014;4004
23/10/2014;3353
24/10/2014;19664
25/10/2014;10798
26/10/2014;14606
27/10/2014;9505
28/10/2014;9069
29/10/2014;15734
30/10/2014;11297
31/10/2014;19949
