WR-Typ;Seriennummer;RS485-Adresse;IP-Adresse;Ertrag[kWh]
Powador 10.0 TL3;10.0TL01258079;1;0.0.0.0;236.47
Datum;E[Wh]
01/02/2015;5634
02/02/2015;3321
03/02/2015;639
04/02/2015;713
05/02/2015;507
06/02/2015;307
07/02/2015;1316
08/02/2015;797
09/02/2015;817
10/02/2015;14032
11/02/2015;10600
12/02/2015;8986
13/02/2015;8899
14/02/2015;11757
15/02/2015;4937
16/02/2015;7366
17/02/2015;7081
18/02/2015;7581
19/02/2015;18160
20/02/2015;26509
21/02/2015;16559
22/02/2015;2032
23/02/2015;4853
24/02/2015;11734
25/02/2015;9352
26/02/2015;29978
27/02/2015;1194
28/02/2015;20811
