WR-Typ;Seriennummer;RS485-Adresse;IP-Adresse;Ertrag[kWh]
Powador 10.0 TL3;10.0TL01258079;1;192.168.1.100;435.38
Datum;E[Wh]
01/10/2013;14052
02/10/2013;20276
03/10/2013;18393
04/10/2013;13626
05/10/2013;10482
06/10/2013;7561
07/10/2013;15846
08/10/2013;4511
09/10/2013;7696
10/10/2013;2289
11/10/2013;14517
12/10/2013;8316
13/10/2013;26980
14/10/2013;14445
15/10/2013;13089
16/10/2013;26644
17/10/2013;20353
18/10/2013;25612
19/10/2013;19683
20/10/2013;12260
21/10/2013;12482
22/10/2013;14237
23/10/2013;4248
24/10/2013;21586
25/10/2013;11906
26/10/2013;14552
27/10/2013;4511
28/10/2013;16180
29/10/2013;11801
30/10/2013;20658
31/10/2013;6595
