WR-Typ;Seriennummer;RS485-Adresse;IP-Adresse;Ertrag[kWh]
Powador 10.0 TL3;10.0TL01258079;1;0.0.0.0;436.71
Datum;E[Wh]
01/10/2015;33284
02/10/2015;29304
03/10/2015;29297
04/10/2015;17332
05/10/2015;20651
06/10/2015;22308
07/10/2015;14622
08/10/2015;13440
09/10/2015;18985
10/10/2015;6501
11/10/2015;10424
12/10/2015;13325
13/10/2015;7243
14/10/2015;17267
15/10/2015;5615
16/10/2015;8071
17/10/2015;7565
18/10/2015;4385
19/10/2015;15931
20/10/2015;20150
21/10/2015;16300
22/10/2015;17763
23/10/2015;10965
24/10/2015;14078
25/10/2015;12834
26/10/2015;9268
27/10/2015;7258
28/10/2015;10689
29/10/2015;3555
30/10/2015;11121
31/10/2015;7183
