WR-Typ;Seriennummer;RS485-Adresse;IP-Adresse;Ertrag[kWh]
Powador 10.0 TL3;10.0TL01258079;1;0.0.0.0;1005.68
Datum;E[Wh]
01/07/2014;56253
02/07/2014;12361
03/07/2014;54232
04/07/2014;38445
05/07/2014;25445
06/07/2014;51269
07/07/2014;38868
08/07/2014;11795
09/07/2014;14757
10/07/2014;8666
11/07/2014;29174
12/07/2014;29192
13/07/2014;32001
14/07/2014;37197
15/07/2014;47141
16/07/2014;51748
17/07/2014;51323
18/07/2014;52632
19/07/2014;50275
20/07/2014;36345
21/07/2014;9031
22/07/2014;11706
23/07/2014;37405
24/07/2014;42544
25/07/2014;50544
26/07/2014;11709
27/07/2014;9309
28/07/2014;45720
29/07/2014;14934
30/07/2014;9308
31/07/2014;34358
