WR-Typ;Seriennummer;RS485-Adresse;IP-Adresse;Ertrag[kWh]
Powador 10.0 TL3;10.0TL01258079;1;0.0.0.0;1201.28
Datum;E[Wh]
01/06/2015;54300
02/06/2015;45441
03/06/2015;54420
04/06/2015;52911
05/06/2015;52002
06/06/2015;51723
07/06/2015;53796
08/06/2015;20364
09/06/2015;15182
10/06/2015;36055
11/06/2015;46040
12/06/2015;52477
13/06/2015;41995
14/06/2015;42468
15/06/2015;12736
16/06/2015;29330
17/06/2015;48727
18/06/2015;18050
19/06/2015;37670
20/06/2015;21238
21/06/2015;16345
22/06/2015;37109
23/06/2015;36825
24/06/2015;49819
25/06/2015;44895
26/06/2015;54265
27/06/2015;26923
28/06/2015;53827
29/06/2015;41719
30/06/2015;52634
