WR-Typ;Seriennummer;RS485-Adresse;IP-Adresse;Ertrag[kWh]
Powador 10.0 TL3;10.0TL01258079;1;0.0.0.0;219.62
Datum;E[Wh]
01/11/2015;5968
02/11/2015;6248
03/11/2015;10103
04/11/2015;8946
05/11/2015;12775
06/11/2015;12540
07/11/2015;13624
08/11/2015;15562
09/11/2015;9140
10/11/2015;15787
11/11/2015;10224
12/11/2015;4139
13/11/2015;11212
14/11/2015;9108
15/11/2015;11549
16/11/2015;11489
17/11/2015;3796
18/11/2015;11554
19/11/2015;8114
20/11/2015;722
21/11/2015;4849
22/11/2015;616
23/11/2015;834
24/11/2015;1227
25/11/2015;647
26/11/2015;4252
27/11/2015;8887
28/11/2015;138
29/11/2015;1478
30/11/2015;4100
