WR-Typ;Seriennummer;RS485-Adresse;IP-Adresse;Ertrag[kWh]
Powador 10.0 TL3;10.0TL01258079;1;0.0.0.0;897.66
Datum;E[Wh]
01/04/2014;36109
02/04/2014;41639
03/04/2014;26538
04/04/2014;16665
05/04/2014;11087
06/04/2014;22369
07/04/2014;41646
08/04/2014;10195
09/04/2014;40311
10/04/2014;19283
11/04/2014;46216
12/04/2014;36558
13/04/2014;33530
14/04/2014;42852
15/04/2014;32052
16/04/2014;47488
17/04/2014;51185
18/04/2014;7966
19/04/2014;14152
20/04/2014;32428
21/04/2014;33847
22/04/2014;34699
23/04/2014;48252
24/04/2014;47432
25/04/2014;47389
26/04/2014;26865
27/04/2014;13790
28/04/2014;13935
29/04/2014;16444
30/04/2014;4740
