WR-Typ;Seriennummer;RS485-Adresse;IP-Adresse;Ertrag[kWh]
Powador 10.0 TL3;10.0TL01258079;1;0.0.0.0;191.46
Datum;E[Wh]
01/11/2014;6539
02/11/2014;8866
03/11/2014;17927
04/11/2014;9992
05/11/2014;2002
06/11/2014;5036
07/11/2014;5913
08/11/2014;17052
09/11/2014;10803
10/11/2014;6272
11/11/2014;6648
12/11/2014;2120
13/11/2014;3544
14/11/2014;4957
15/11/2014;6690
16/11/2014;9675
17/11/2014;2998
18/11/2014;4176
19/11/2014;5677
20/11/2014;11923
21/11/2014;4057
22/11/2014;7976
23/11/2014;3292
24/11/2014;5020
25/11/2014;2823
26/11/2014;3042
27/11/2014;2505
28/11/2014;7579
29/11/2014;3072
30/11/2014;3286
