WR-Typ;Seriennummer;RS485-Adresse;IP-Adresse;Ertrag[kWh]
Powador 10.0 TL3;10.0TL01258079;1;0.0.0.0;147.99
Datum;E[Wh]
01/01/2015;0
02/01/2015;0
03/01/2015;0
04/01/2015;5850
05/01/2015;10948
06/01/2015;4189
07/01/2015;6181
08/01/2015;4253
09/01/2015;2747
10/01/2015;9655
11/01/2015;3897
12/01/2015;8644
13/01/2015;12021
14/01/2015;2575
15/01/2015;10694
16/01/2015;7033
17/01/2015;928
18/01/2015;3477
19/01/2015;9612
20/01/2015;3020
21/01/2015;8288
22/01/2015;2370
23/01/2015;1931
24/01/2015;2741
25/01/2015;682
26/01/2015;1704
27/01/2015;1650
28/01/2015;7709
29/01/2015;585
30/01/2015;2085
31/01/2015;12523
