WR-Typ;Seriennummer;RS485-Adresse;IP-Adresse;Ertrag[kWh]
Powador 10.0 TL3;10.0TL01258079;1;0.0.0.0;1322.01
Datum;E[Wh]
01/07/2015;52595
02/07/2015;51101
03/07/2015;47635
04/07/2015;50878
05/07/2015;50552
06/07/2015;42199
07/07/2015;48032
08/07/2015;17760
09/07/2015;34372
10/07/2015;54228
11/07/2015;50520
12/07/2015;50694
13/07/2015;29368
14/07/2015;45318
15/07/2015;50556
16/07/2015;49697
17/07/2015;45417
18/07/2015;22097
19/07/2015;40415
20/07/2015;47404
21/07/2015;49724
22/07/2015;48592
23/07/2015;22780
24/07/2015;48222
25/07/2015;38950
26/07/2015;43018
27/07/2015;43523
28/07/2015;27730
29/07/2015;14290
30/07/2015;52172
31/07/2015;52177
