WR-Typ;Seriennummer;RS485-Adresse;IP-Adresse;Ertrag[kWh]
Powador 10.0 TL3;10.0TL01258079;1;192.168.1.100;972.08
Datum;E[Wh]
01/05/2013;33811
02/05/2013;36506
03/05/2013;29055
04/05/2013;38945
05/05/2013;49354
06/05/2013;41490
07/05/2013;29772
08/05/2013;52002
09/05/2013;38690
10/05/2013;14156
11/05/2013;20495
12/05/2013;25365
13/05/2013;23169
14/05/2013;53686
15/05/2013;35739
16/05/2013;21920
17/05/2013;19637
18/05/2013;55757
19/05/2013;14630
20/05/2013;38200
21/05/2013;28844
22/05/2013;11285
23/05/2013;34592
24/05/2013;23389
25/05/2013;30154
26/05/2013;21440
27/05/2013;39715
28/05/2013;47565
29/05/2013;21858
30/05/2013;33143
31/05/2013;7722
