WR-Typ;Seriennummer;RS485-Adresse;IP-Adresse;Ertrag[kWh]
Powador 10.0 TL3;10.0TL01258079;1;192.168.1.100;12.71
Uhrzeit;Udc1[V];Idc1[A];Pdc1[W];Udc2[V];Idc2[A];Pdc2[W];Uac1[V];Iac1[A];Uac2[V];Iac2[A];Uac3[V];Iac3[A];Pdc[W];Pac[W];Tsys[°C]
06:26:10;351.0;0.02;8;199.3;0.00;0;224.6;0.00;225.2;0.00;226.3;0.00;8;0;24.8
06:31:14;249.1;0.04;11;449.4;0.00;0;226.2;0.00;226.8;0.00;228.0;0.00;11;0;26.9
06:36:18;421.8;0.02;10;280.5;0.00;0;226.1;0.00;226.8;0.00;228.0;0.00;10;0;27.4
06:41:22;515.9;0.01;7;188.2;0.00;0;226.0;0.00;226.7;0.00;227.8;0.00;7;0;27.7
06:46:26;534.7;0.01;8;190.1;0.00;0;226.1;0.00;226.9;0.00;227.9;0.00;8;0;27.8
06:51:30;547.4;0.01;8;266.0;0.00;0;225.9;0.00;226.7;0.00;227.8;0.00;8;0;28.0
06:56:34;552.1;0.03;18;424.1;0.00;0;225.9;0.16;226.7;0.16;227.8;0.16;18;10;28.3
07:01:38;431.7;0.18;79;213.7;0.00;0;225.9;0.77;226.9;0.78;227.9;0.77;79;74;29.0
07:06:42;423.2;0.23;100;211.6;0.00;0;225.7;0.77;226.3;0.79;227.7;0.77;100;99;29.7
07:11:46;423.2;0.29;125;211.6;0.01;3;224.3;0.77;224.8;0.79;226.2;0.78;128;123;30.2
07:16:50;423.2;0.31;131;211.6;0.02;4;225.1;0.78;225.1;0.79;227.1;0.79;136;134;30.8
07:21:54;423.2;0.31;134;211.6;0.01;3;225.2;0.78;225.8;0.79;227.3;0.79;138;134;31.2
07:26:58;423.2;0.33;142;211.6;0.02;5;225.9;0.79;226.7;0.79;227.8;0.81;147;143;31.7
07:32:02;423.2;0.36;155;211.6;0.03;7;226.0;0.79;226.8;0.80;227.9;0.82;162;157;32.0
07:37:06;423.2;0.39;166;211.6;0.04;10;225.5;0.81;226.3;0.80;227.4;0.83;176;172;32.4
07:42:10;423.2;0.45;191;211.6;0.07;16;225.6;0.82;226.0;0.82;227.5;0.84;207;202;32.7
07:47:14;423.2;0.47;201;211.6;0.08;18;225.4;0.83;226.1;0.83;227.3;0.84;219;215;33.0
07:52:18;491.5;0.46;228;211.6;0.09;20;225.6;0.84;226.4;0.84;227.4;0.85;248;242;33.2
07:57:22;511.7;0.40;207;211.6;0.19;41;226.1;0.36;226.7;0.36;228.0;0.36;251;247;33.5
08:02:26;503.4;0.49;247;211.6;0.10;22;225.7;0.86;226.4;0.85;227.8;0.86;269;263;33.7
08:07:30;508.5;0.60;305;211.6;0.16;34;226.0;0.90;226.6;0.90;228.0;0.90;339;329;33.9
08:12:34;524.1;0.76;403;211.6;0.25;53;226.5;1.01;227.3;1.01;228.5;1.01;456;447;34.1
08:17:38;533.0;0.99;528;211.6;0.37;78;226.9;1.16;227.3;1.15;228.5;1.15;607;596;34.2
08:22:42;527.1;0.97;516;211.6;0.35;75;226.6;1.15;227.3;1.14;227.9;1.14;591;576;34.4
08:27:46;538.5;1.02;550;211.6;0.39;82;226.4;1.20;226.4;1.19;227.4;1.18;633;621;34.5
08:32:50;538.8;1.07;580;211.6;0.41;88;226.4;1.24;226.8;1.23;227.3;1.22;668;656;34.6
08:37:54;539.3;1.19;646;211.6;0.48;102;226.3;1.33;226.9;1.32;227.6;1.30;748;735;34.7
08:42:58;540.4;1.29;700;211.6;0.53;112;226.4;1.41;226.9;1.40;228.2;1.38;813;798;34.9
08:48:02;542.6;1.34;728;211.6;0.55;118;226.5;1.45;227.1;1.44;228.4;1.42;846;833;35.0
08:53:07;542.8;1.56;848;211.6;0.67;142;226.6;1.63;227.2;1.62;228.5;1.60;990;971;35.1
08:58:11;543.5;1.66;907;211.6;0.73;155;226.5;1.73;226.8;1.72;228.3;1.69;1063;1046;35.2
09:03:15;539.8;1.49;805;211.6;0.64;135;226.2;1.57;226.8;1.55;228.0;1.53;941;927;35.4
09:08:19;538.9;1.45;786;211.6;0.61;131;226.2;1.54;226.9;1.52;228.2;1.51;917;901;35.5
09:13:23;543.6;1.91;1040;217.8;0.87;190;226.6;1.94;227.4;1.92;228.5;1.90;1231;1211;35.6
09:18:27;539.4;1.93;1042;337.5;0.99;334;227.0;2.14;227.7;2.13;228.9;2.10;1376;1358;35.7
09:23:31;540.0;1.92;1041;559.6;0.96;539;227.0;2.27;227.5;2.27;228.3;2.26;1583;1554;35.9
09:28:35;536.1;1.60;862;587.7;0.73;430;226.8;1.87;227.3;1.87;228.4;1.86;1294;1280;36.0
09:33:39;537.0;1.59;857;590.6;0.72;427;227.0;1.85;227.4;1.84;228.8;1.84;1286;1263;36.1
09:38:43;539.1;1.72;927;593.9;0.87;520;226.7;2.24;226.9;2.23;228.8;2.20;1448;1431;36.2
09:43:47;537.7;1.92;1037;598.8;0.89;535;226.8;2.27;226.9;2.27;228.7;2.26;1575;1553;36.3
09:48:51;535.8;1.47;791;595.0;0.73;437;226.8;1.95;227.1;1.93;228.8;1.91;1229;1216;36.4
09:53:55;537.4;1.46;788;593.8;0.65;389;227.0;1.70;227.3;1.69;228.9;1.68;1180;1161;36.5
09:58:59;537.6;1.52;820;594.4;0.68;404;226.9;1.76;227.3;1.76;228.9;1.74;1225;1202;36.5
10:04:03;539.6;1.60;866;595.2;0.72;430;226.6;1.88;227.1;1.87;228.8;1.86;1298;1281;36.6
10:09:07;538.7;1.70;919;596.4;0.86;513;226.7;2.21;227.1;2.20;229.0;2.17;1432;1412;36.6
10:14:11;543.7;1.79;974;597.3;0.90;539;226.3;2.33;226.9;2.32;228.8;2.30;1513;1496;36.7
10:19:15;551.4;1.84;1019;595.5;0.94;561;226.4;2.42;226.9;2.41;228.8;2.39;1581;1565;36.8
10:24:19;558.8;2.12;1188;582.8;1.05;617;226.6;2.61;226.9;2.60;228.9;2.58;1808;1776;36.8
10:29:23;559.9;2.05;1150;579.6;0.97;564;226.4;2.48;227.2;2.47;228.7;2.45;1716;1687;36.9
10:34:27;560.3;2.45;1378;576.9;1.14;662;226.6;2.96;227.0;2.96;228.5;2.94;2042;2020;37.0
10:39:31;547.1;2.74;1501;575.8;1.22;702;226.6;3.28;227.3;3.27;228.7;3.25;2204;2178;37.1
10:44:35;541.7;2.72;1474;573.0;1.12;643;226.6;3.06;227.3;3.05;228.9;3.03;2119;2085;37.2
10:49:39;542.0;2.60;1412;576.0;1.05;610;226.3;2.93;227.0;2.92;228.5;2.90;2023;1992;37.3
10:54:43;541.9;2.74;1486;575.6;1.19;690;226.8;3.25;227.2;3.24;228.5;3.21;2177;2154;37.4
10:59:47;541.3;2.79;1514;574.8;1.14;659;227.0;3.12;227.3;3.12;228.7;3.10;2175;2131;37.5
11:04:51;538.8;2.73;1473;572.2;1.12;640;226.3;3.07;226.9;3.07;228.4;3.04;2115;2090;37.6
11:09:55;539.1;2.59;1398;570.6;1.06;607;226.9;2.90;227.2;2.89;228.9;2.87;2007;1977;37.7
