WR-Typ;Seriennummer;RS485-Adresse;IP-Adresse;Ertrag[kWh]
Powador 10.0 TL3;10.0TL01258079;1;192.168.1.100;660.88
Datum;E[Wh]
01/09/2013;17315
02/09/2013;27706
03/09/2013;43460
04/09/2013;42620
05/09/2013;40469
06/09/2013;38871
07/09/2013;38930
08/09/2013;9617
09/09/2013;23943
10/09/2013;6209
11/09/2013;19997
12/09/2013;10449
13/09/2013;17353
14/09/2013;19219
15/09/2013;17195
16/09/2013;7033
17/09/2013;24402
18/09/2013;15155
19/09/2013;30697
20/09/2013;15738
21/09/2013;30477
22/09/2013;22657
23/09/2013;36801
24/09/2013;18671
25/09/2013;23262
26/09/2013;13145
27/09/2013;15323
28/09/2013;16079
29/09/2013;9825
30/09/2013;8267
