WR-Typ;Seriennummer;RS485-Adresse;IP-Adresse;Ertrag[kWh]
Powador 10.0 TL3;10.0TL01258079;1;0.0.0.0;792.13
Datum;E[Wh]
01/03/2014;9491
02/03/2014;4933
03/03/2014;14755
04/03/2014;3601
05/03/2014;17291
06/03/2014;29761
07/03/2014;28298
08/03/2014;31169
09/03/2014;33875
10/03/2014;33338
11/03/2014;28997
12/03/2014;35425
13/03/2014;33021
14/03/2014;32274
15/03/2014;10931
16/03/2014;13296
17/03/2014;37511
18/03/2014;35369
19/03/2014;25370
20/03/2014;38996
21/03/2014;37372
22/03/2014;10956
23/03/2014;6037
24/03/2014;15960
25/03/2014;19447
26/03/2014;19721
27/03/2014;25436
28/03/2014;40756
29/03/2014;42767
30/03/2014;40427
31/03/2014;35554
