WR-Typ;Seriennummer;RS485-Adresse;IP-Adresse;Ertrag[kWh]
Powador 10.0 TL3;10.0TL01258079;1;0.0.0.0;1099.85
Datum;E[Wh]
01/05/2014;34983
02/05/2014;14425
03/05/2014;12586
04/05/2014;42403
05/05/2014;49043
06/05/2014;39016
07/05/2014;16677
08/05/2014;40812
09/05/2014;22853
10/05/2014;36094
11/05/2014;36482
12/05/2014;30064
13/05/2014;27158
14/05/2014;32073
15/05/2014;28592
16/05/2014;36610
17/05/2014;37616
18/05/2014;54892
19/05/2014;41455
20/05/2014;54155
21/05/2014;53450
22/05/2014;39796
23/05/2014;40952
24/05/2014;33305
25/05/2014;50022
26/05/2014;34012
27/05/2014;11841
28/05/2014;32260
29/05/2014;41649
30/05/2014;22206
31/05/2014;52370
