WR-Typ;Seriennummer;RS485-Adresse;IP-Adresse;Ertrag[kWh]
Powador 10.0 TL3;10.0TL01258079;1;192.168.1.100;566.99
Datum;E[Wh]
01/03/2013;10464
02/03/2013;4094
03/03/2013;16813
04/03/2013;32495
05/03/2013;30704
06/03/2013;22911
07/03/2013;25730
08/03/2013;31743
09/03/2013;30283
10/03/2013;24060
11/03/2013;10835
12/03/2013;16000
13/03/2013;5830
14/03/2013;19279
15/03/2013;25322
16/03/2013;40936
17/03/2013;13981
18/03/2013;6036
19/03/2013;19297
20/03/2013;25902
21/03/2013;22032
22/03/2013;38990
23/03/2013;22989
24/03/2013;23867
25/03/2013;954
26/03/2013;257
27/03/2013;1533
28/03/2013;4073
29/03/2013;17902
30/03/2013;8196
31/03/2013;13485
