WR-Typ;Seriennummer;RS485-Adresse;IP-Adresse;Ertrag[kWh]
Powador 10.0 TL3;10.0TL01258079;1;192.168.1.100;1117.69
Datum;E[Wh]
01/06/2013;8128
02/06/2013;21661
03/06/2013;37578
04/06/2013;51883
05/06/2013;53431
06/06/2013;53823
07/06/2013;55161
08/06/2013;54270
09/06/2013;40920
10/06/2013;13775
11/06/2013;21976
12/06/2013;40032
13/06/2013;53819
14/06/2013;34421
15/06/2013;44069
16/06/2013;47589
17/06/2013;52694
18/06/2013;52107
19/06/2013;49628
20/06/2013;47006
21/06/2013;46843
22/06/2013;27887
23/06/2013;13899
24/06/2013;22041
25/06/2013;24926
26/06/2013;34715
27/06/2013;24209
28/06/2013;33890
29/06/2013;9875
30/06/2013;45439
