WR-Typ;Seriennummer;RS485-Adresse;IP-Adresse;Ertrag[kWh]
Powador 10.0 TL3;10.0TL01258079;1;192.168.1.100;1153.44
Datum;E[Wh]
01/08/2013;51049
02/08/2013;49308
03/08/2013;39733
04/08/2013;38239
05/08/2013;47503
06/08/2013;42748
07/08/2013;31502
08/08/2013;15635
09/08/2013;6941
10/08/2013;40199
11/08/2013;45617
12/08/2013;48319
13/08/2013;42118
14/08/2013;43980
15/08/2013;47300
16/08/2013;47737
17/08/2013;45482
18/08/2013;43015
19/08/2013;16471
20/08/2013;45840
21/08/2013;47490
22/08/2013;46489
23/08/2013;30694
24/08/2013;23508
25/08/2013;12361
26/08/2013;31091
27/08/2013;24291
28/08/2013;21618
29/08/2013;42093
30/08/2013;42739
31/08/2013;42332
