WR-Typ;Seriennummer;RS485-Adresse;IP-Adresse;Ertrag[kWh]
Powador 10.0 TL3;10.0TL01258079;1;192.168.1.100;186.82
Datum;E[Wh]
01/11/2013;5573
02/11/2013;9403
03/11/2013;5379
04/11/2013;9794
05/11/2013;12346
06/11/2013;1540
07/11/2013;17371
08/11/2013;13752
09/11/2013;8849
10/11/2013;2190
11/11/2013;8345
12/11/2013;8796
13/11/2013;7313
14/11/2013;1786
15/11/2013;2629
16/11/2013;1821
17/11/2013;2341
18/11/2013;3087
19/11/2013;1708
20/11/2013;3945
21/11/2013;3176
22/11/2013;1684
23/11/2013;954
24/11/2013;1482
25/11/2013;10984
26/11/2013;11119
27/11/2013;12662
28/11/2013;4713
29/11/2013;8986
30/11/2013;3099
