WR-Typ;Seriennummer;RS485-Adresse;IP-Adresse;Ertrag[kWh]
Powador 10.0 TL3;10.0TL01258079;1;0.0.0.0;709.94
Datum;E[Wh]
01/09/2014;23490
02/09/2014;24279
03/09/2014;21752
04/09/2014;26430
05/09/2014;23666
06/09/2014;27910
07/09/2014;36582
08/09/2014;36846
09/09/2014;24177
10/09/2014;18340
11/09/2014;21703
12/09/2014;5869
13/09/2014;17833
14/09/2014;32997
15/09/2014;23785
16/09/2014;22913
17/09/2014;25314
18/09/2014;21728
19/09/2014;26374
20/09/2014;21625
21/09/2014;17969
22/09/2014;25904
23/09/2014;38120
24/09/2014;31894
25/09/2014;13156
26/09/2014;20708
27/09/2014;33969
28/09/2014;16473
29/09/2014;17507
30/09/2014;10632
