WR-Typ;Seriennummer;RS485-Adresse;IP-Adresse;Ertrag[kWh]
Powador 10.0 TL3;10.0TL01258079;1;0.0.0.0;206.75
Datum;E[Wh]
01/01/2014;7915
02/01/2014;3362
03/01/2014;5166
04/01/2014;1091
05/01/2014;4705
06/01/2014;10455
07/01/2014;9529
08/01/2014;7431
09/01/2014;8979
10/01/2014;4046
11/01/2014;3413
12/01/2014;11024
13/01/2014;4208
14/01/2014;1136
15/01/2014;11104
16/01/2014;4670
17/01/2014;3273
18/01/2014;7135
19/01/2014;3891
20/01/2014;1986
21/01/2014;1155
22/01/2014;3868
23/01/2014;3317
24/01/2014;6587
25/01/2014;10777
26/01/2014;5903
27/01/2014;8889
28/01/2014;14855
29/01/2014;16543
30/01/2014;5506
31/01/2014;14840
