WR-Typ;Seriennummer;RS485-Adresse;IP-Adresse;Ertrag[kWh]
Powador 10.0 TL3;10.0TL01258079;1;192.168.1.100;191.74
Datum;E[Wh]
01/12/2013;11566
02/12/2013;11123
03/12/2013;3613
04/12/2013;7622
05/12/2013;8161
06/12/2013;7199
07/12/2013;10943
08/12/2013;10074
09/12/2013;8410
10/12/2013;10030
11/12/2013;3063
12/12/2013;2277
13/12/2013;1964
14/12/2013;1632
15/12/2013;1810
16/12/2013;3888
17/12/2013;4439
18/12/2013;6484
19/12/2013;2866
20/12/2013;1021
21/12/2013;2198
22/12/2013;4967
23/12/2013;8500
24/12/2013;7560
25/12/2013;3782
26/12/2013;634
27/12/2013;9005
28/12/2013;8234
29/12/2013;7840
30/12/2013;10295
31/12/2013;10542
