WR-Typ;Seriennummer;RS485-Adresse;IP-Adresse;Ertrag[kWh]
Powador 10.0 TL3;10.0TL01258079;1;0.0.0.0;116.79
Datum;E[Wh]
01/12/2014;2568
02/12/2014;3258
03/12/2014;3518
04/12/2014;2921
05/12/2014;1734
06/12/2014;4708
07/12/2014;1618
08/12/2014;3389
09/12/2014;4099
10/12/2014;2910
11/12/2014;3739
12/12/2014;9776
13/12/2014;7754
14/12/2014;4085
15/12/2014;1801
16/12/2014;4488
17/12/2014;1839
18/12/2014;1471
19/12/2014;7554
20/12/2014;6594
21/12/2014;9027
22/12/2014;9055
23/12/2014;10213
24/12/2014;5811
25/12/2014;2440
26/12/2014;423
27/12/2014;0
28/12/2014;0
29/12/2014;0
30/12/2014;0
31/12/2014;0
