WR-Typ;Seriennummer;RS485-Adresse;IP-Adresse;Ertrag[kWh]
Powador 10.0 TL3;10.0TL01258079;1;0.0.0.0;754.86
Datum;E[Wh]
01/03/2015;8788
02/03/2015;6998
03/03/2015;30704
04/03/2015;12354
05/03/2015;17106
06/03/2015;33016
07/03/2015;30478
08/03/2015;33357
09/03/2015;32490
10/03/2015;34160
11/03/2015;18021
12/03/2015;31608
13/03/2015;34579
14/03/2015;31652
15/03/2015;27922
16/03/2015;33764
17/03/2015;22987
18/03/2015;30327
19/03/2015;34545
20/03/2015;31537
21/03/2015;13925
22/03/2015;11869
23/03/2015;22162
24/03/2015;32438
25/03/2015;28391
26/03/2015;10407
27/03/2015;20272
28/03/2015;40852
29/03/2015;9961
30/03/2015;17636
31/03/2015;10563
