WR-Typ;Seriennummer;RS485-Adresse;IP-Adresse;Ertrag[kWh]
Powador 10.0 TL3;10.0TL01258079;1;0.0.0.0;1112.13
Datum;E[Wh]
01/08/2015;18238
02/08/2015;38400
03/08/2015;48987
04/08/2015;38295
05/08/2015;47696
06/08/2015;44966
07/08/2015;45394
08/08/2015;45252
09/08/2015;44633
10/08/2015;28780
11/08/2015;38002
12/08/2015;43393
13/08/2015;44824
14/08/2015;23240
15/08/2015;16439
16/08/2015;14034
17/08/2015;21812
18/08/2015;32086
19/08/2015;7270
20/08/2015;30801
21/08/2015;43867
22/08/2015;43927
23/08/2015;34144
24/08/2015;27017
25/08/2015;43925
26/08/2015;43700
27/08/2015;41870
28/08/2015;37859
29/08/2015;41188
30/08/2015;40815
31/08/2015;41278
