WR-Typ;Seriennummer;RS485-Adresse;IP-Adresse;Ertrag[kWh]
Powador 10.0 TL3;10.0TL01258079;1;0.0.0.0;983.84
Datum;E[Wh]
01/05/2015;8766
02/05/2015;27284
03/05/2015;14225
04/05/2015;24023
05/05/2015;24436
06/05/2015;26750
07/05/2015;43473
08/05/2015;50422
09/05/2015;27974
10/05/2015;47488
11/05/2015;48998
12/05/2015;47910
13/05/2015;40715
14/05/2015;33689
15/05/2015;3531
16/05/2015;26100
17/05/2015;39086
18/05/2015;53697
19/05/2015;7784
20/05/2015;12545
21/05/2015;17706
22/05/2015;30730
23/05/2015;28834
24/05/2015;36865
25/05/2015;31295
26/05/2015;19419
27/05/2015;26319
28/05/2015;55961
29/05/2015;46841
30/05/2015;35402
31/05/2015;45572
