WR-Typ;Seriennummer;RS485-Adresse;IP-Adresse;Ertrag[kWh]
Powador 10.0 TL3;10.0TL01258079;1;192.168.1.100;208.01
Datum;E[Wh]
01/11/2012;14861
02/11/2012;11439
03/11/2012;16241
04/11/2012;15577
05/11/2012;12701
06/11/2012;7406
07/11/2012;5419
08/11/2012;8505
09/11/2012;16150
10/11/2012;5200
11/11/2012;2237
12/11/2012;3715
13/11/2012;5332
14/11/2012;8924
15/11/2012;5168
16/11/2012;3939
17/11/2012;2636
18/11/2012;6682
19/11/2012;11117
20/11/2012;2477
21/11/2012;2866
22/11/2012;3647
23/11/2012;8842
24/11/2012;9100
25/11/2012;4472
26/11/2012;3583
27/11/2012;1745
28/11/2012;1164
29/11/2012;1095
30/11/2012;5774
