WR-Typ;Seriennummer;RS485-Adresse;IP-Adresse;Ertrag[kWh]
Powador 10.0 TL3;10.0TL01258079;1;192.168.1.100;105.84
Datum;E[Wh]
01/12/2012;5220
02/12/2012;141
03/12/2012;0
04/12/2012;4686
05/12/2012;381
06/12/2012;249
07/12/2012;0
08/12/2012;0
09/12/2012;0
10/12/2012;205
11/12/2012;5
12/12/2012;39
13/12/2012;21
14/12/2012;105
15/12/2012;3874
16/12/2012;3392
17/12/2012;6102
18/12/2012;4954
19/12/2012;3539
20/12/2012;5335
21/12/2012;2932
22/12/2012;7081
23/12/2012;1672
24/12/2012;9599
25/12/2012;9305
26/12/2012;3912
27/12/2012;1833
28/12/2012;4415
29/12/2012;9200
30/12/2012;7651
31/12/2012;9996
