WR-Typ;Seriennummer;RS485-Adresse;IP-Adresse;Ertrag[kWh]
Powador 10.0 TL3;10.0TL01258079;1;192.168.1.100;198.77
Datum;E[Wh]
01/02/2013;2320
02/02/2013;3693
03/02/2013;6244
04/02/2013;592
05/02/2013;10318
06/02/2013;1841
07/02/2013;0
08/02/2013;35
09/02/2013;0
10/02/2013;0
11/02/2013;0
12/02/2013;0
13/02/2013;0
14/02/2013;0
15/02/2013;0
16/02/2013;9042
17/02/2013;11478
18/02/2013;23674
19/02/2013;20578
20/02/2013;2029
21/02/2013;18011
22/02/2013;16979
23/02/2013;12710
24/02/2013;6437
25/02/2013;21910
26/02/2013;13023
27/02/2013;7339
28/02/2013;10522
