WR-Typ;Seriennummer;RS485-Adresse;IP-Adresse;Ertrag[kWh]
Powador 10.0 TL3;10.0TL01258079;1;0.0.0.0;173.02
Datum;E[Wh]
01/12/2015;2462
02/12/2015;6354
03/12/2015;2032
04/12/2015;3415
05/12/2015;3761
06/12/2015;3035
07/12/2015;10166
08/12/2015;2937
09/12/2015;3354
10/12/2015;5765
11/12/2015;6383
12/12/2015;10329
13/12/2015;10061
14/12/2015;4053
15/12/2015;3839
16/12/2015;1275
17/12/2015;8157
18/12/2015;5840
19/12/2015;4837
20/12/2015;3392
21/12/2015;1833
22/12/2015;9247
23/12/2015;9580
24/12/2015;6370
25/12/2015;9420
26/12/2015;9385
27/12/2015;5156
28/12/2015;4884
29/12/2015;4413
30/12/2015;9875
31/12/2015;1415
