WR-Typ;Seriennummer;RS485-Adresse;IP-Adresse;Ertrag[kWh]
Powador 10.0 TL3;10.0TL01258079;1;0.0.0.0;758.09
Datum;E[Wh]
01/09/2015;30396
02/09/2015;25729
03/09/2015;11140
04/09/2015;37810
05/09/2015;20461
06/09/2015;17531
07/09/2015;35055
08/09/2015;41121
09/09/2015;40688
10/09/2015;32889
11/09/2015;32774
12/09/2015;36757
13/09/2015;15733
14/09/2015;18681
15/09/2015;6241
16/09/2015;13442
17/09/2015;12947
18/09/2015;12356
19/09/2015;28924
20/09/2015;16112
21/09/2015;35791
22/09/2015;12279
23/09/2015;6569
24/09/2015;18248
25/09/2015;29286
26/09/2015;29866
27/09/2015;34730
28/09/2015;35332
29/09/2015;35928
30/09/2015;33284
