WR-Typ;Seriennummer;RS485-Adresse;IP-Adresse;Ertrag[kWh]
Powador 10.0 TL3;10.0TL01258079;1;0.0.0.0;399.04
Datum;E[Wh]
01/02/2014;9368
02/02/2014;4949
03/02/2014;8828
04/02/2014;10709
05/02/2014;4622
06/02/2014;20157
07/02/2014;8361
08/02/2014;12224
09/02/2014;13550
10/02/2014;6568
11/02/2014;16354
12/02/2014;8552
13/02/2014;8897
14/02/2014;13261
15/02/2014;22727
16/02/2014;5664
17/02/2014;20188
18/02/2014;14511
19/02/2014;4695
20/02/2014;21634
21/02/2014;5727
22/02/2014;21229
23/02/2014;19175
24/02/2014;29009
25/02/2014;24090
26/02/2014;25977
27/02/2014;15457
28/02/2014;22563
