WR-Typ;Seriennummer;RS485-Adresse;IP-Adresse;Ertrag[kWh]
Powador 10.0 TL3;10.0TL01258079;1;192.168.1.100;772.46
Datum;E[Wh]
01/04/2013;42792
02/04/2013;13863
03/04/2013;23951
04/04/2013;40716
05/04/2013;7793
06/04/2013;14522
07/04/2013;21069
08/04/2013;21346
09/04/2013;25501
10/04/2013;33885
11/04/2013;11629
12/04/2013;29167
13/04/2013;37686
14/04/2013;41604
15/04/2013;47333
16/04/2013;24959
17/04/2013;43678
18/04/2013;37160
19/04/2013;4588
20/04/2013;5570
21/04/2013;4656
22/04/2013;13594
23/04/2013;30650
24/04/2013;48617
25/04/2013;49087
26/04/2013;30223
27/04/2013;13308
28/04/2013;21118
29/04/2013;15922
30/04/2013;16473
