WR-Typ;Seriennummer;RS485-Adresse;IP-Adresse;Ertrag[kWh]
Powador 10.0 TL3;10.0TL01258079;1;192.168.1.100;1410.39
Datum;E[Wh]
01/07/2013;55437
02/07/2013;50504
03/07/2013;12253
04/07/2013;40950
05/07/2013;31943
06/07/2013;52966
07/07/2013;48269
08/07/2013;52480
09/07/2013;51370
10/07/2013;50441
11/07/2013;48471
12/07/2013;54353
13/07/2013;51675
14/07/2013;51789
15/07/2013;50400
16/07/2013;52687
17/07/2013;51155
18/07/2013;46973
19/07/2013;49584
20/07/2013;50216
21/07/2013;50525
22/07/2013;49956
23/07/2013;46642
24/07/2013;26376
25/07/2013;47932
26/07/2013;49358
27/07/2013;48015
28/07/2013;41311
29/07/2013;9055
30/07/2013;40848
31/07/2013;46464
