WR-Typ;Seriennummer;RS485-Adresse;IP-Adresse;Ertrag[kWh]
Powador 10.0 TL3;10.0TL01258079;1;192.168.1.100;103.91
Datum;E[Wh]
01/01/2013;4670
02/01/2013;9836
03/01/2013;3263
04/01/2013;2289
05/01/2013;1093
06/01/2013;1144
07/01/2013;5146
08/01/2013;7065
09/01/2013;2626
10/01/2013;1921
11/01/2013;4317
12/01/2013;11537
13/01/2013;4623
14/01/2013;1041
15/01/2013;8328
16/01/2013;4505
17/01/2013;110
18/01/2013;267
19/01/2013;0
20/01/2013;31
21/01/2013;0
22/01/2013;92
23/01/2013;902
24/01/2013;78
25/01/2013;792
26/01/2013;870
27/01/2013;1629
28/01/2013;2839
29/01/2013;3743
30/01/2013;4435
31/01/2013;14722
